游戏地址,游戏名字,评分,评论1,评论2,游戏类型
http://www.4399.com/flash/1382.htm,宠物连连看2.5版,5,每次玩都有不同的感受，很新鲜。,操作很简单，但很有趣。,敏捷类
http://www.4399.com/flash/62002.htm,疯狂过山车2,5,内容丰富，不会觉得无聊。,每个关卡都很有挑战性。,敏捷类
http://www.4399.com/flash/10919.htm,宠物连连看3.0版,5,游戏更新速度快，保持新鲜感。,操作很简单，但很有趣。,敏捷类
http://www.4399.com/flash/92953.htm,逗小猴开心7,5,操作手感非常好，值得推荐。,剧情设计很精彩，玩起来像看电影。,敏捷类
http://www.4399.com/flash/235268.htm,拉面加个蛋,5,画风独特，非常有艺术感。,画面细腻，色彩搭配很好。,敏捷类
http://www.4399.com/flash/10393.htm,石头连连看,5,画面风格很独特，游戏体验非常棒。,游戏机制很独特，玩法很新颖。,敏捷类
http://www.4399.com/flash/106849.htm,坏蛋冰淇淋2,5,游戏设计很精巧，细节处理得很好。,音效和配乐非常出色，增强了体验。,敏捷类
http://www.4399.com/flash/97275.htm,3D旋转麻将连连看,5,游戏设计很精巧，细节处理得很好。,音效和配乐非常出色，增强了体验。,敏捷类
http://www.4399.com/flash/10393.htm,石头连连看,5,游戏设计的细节非常到位。,画面精美，操作流畅。,敏捷类
http://www.4399.com/flash/131178.htm,帮鸟儿解冻3,5,操作很简单，但很有趣。,非常好玩，推荐给大家！,敏捷类
