游戏地址,游戏名字,评分,评论1,评论2,游戏类型
http://www.4399.com/flash/240926.htm,怪物链接,5,画风很可爱，玩起来很放松。,剧情设计很精彩，玩起来像看电影。,测试类
http://www.4399.com/flash/236468.htm,最强羊脑,5,很好玩，玩得停不下来！,游戏设计的细节非常到位。,测试类
http://www.4399.com/flash/104723.htm,搞怪碰碰球,5,游戏中有很多隐藏内容，探索很有趣。,每次更新都有新的玩法，很有趣。,测试类
http://www.4399.com/flash/8954.htm,阿sue家做客,5,新手引导非常详细，容易上手。,画质很好，游戏体验很棒。,测试类
http://www.4399.com/flash/27265.htm,火柴人逃脱记,5,非常好玩，推荐给大家！,玩法多样，永远不会觉得无聊。,测试类
http://www.4399.com/flash/1244.htm,红孩儿连连看,5,每次挑战都有新收获，很有成就感。,画风很治愈，玩起来很放松。,测试类
http://www.4399.com/flash/234634.htm,小美苟活记,5,剧情设计很精彩，玩起来像看电影。,玩法多样，永远不会觉得无聊。,测试类
http://www.4399.com/flash/234524.htm,画个车道,5,音效和配乐非常出色，增强了体验。,关卡设计很巧妙，很有挑战性。,测试类
http://www.4399.com/flash/234356.htm,脑洞人爱收纳,5,每次更新都有新的玩法，很有趣。,很好玩，玩得停不下来！,测试类
http://www.4399.com/flash/10393.htm,石头连连看,5,游戏内容很丰富，玩法很多样。,每次挑战都有新收获，很有成就感。,测试类
