游戏地址,游戏名字,评分,评论1,评论2,游戏类型
http://www.4399.com/flash/240959.htm,消除积木方块,5,画面细腻，色彩搭配很好。,画风很可爱，玩起来很放松。,益智类
http://www.4399.com/flash/238986.htm,冰娃火娃之双人迷宫2,5,游戏体验非常棒，五星好评！,游戏节奏很好，不会觉得拖沓。,益智类
http://www.4399.com/flash/171900.htm,装载卡车5,5,游戏节奏快，很刺激。,非常适合与朋友一起玩。,益智类
http://www.4399.com/flash/100125.htm,装载卡车4,5,操作简单，很容易上手。,游戏世界观很丰富，沉浸感很强。,益智类
http://www.4399.com/flash/50350.htm,唤醒嗜睡的小人,5,玩法简单有趣，打发时间的好选择。,游戏内容很丰富，不会觉得无聊。,益智类
http://www.4399.com/flash/62725.htm,蜗牛鲍勃2中文版,5,关卡设置合理，有挑战性。,游戏设计很有创意，值得一试。,益智类
http://www.4399.com/flash/34726.htm,4399水果连连看,5,任务系统很完善，玩起来很有动力。,游戏设计很有创意，值得一试。,益智类
http://www.4399.com/flash/143168.htm,手纸没有了,5,操作简单，但需要动脑，很有趣。,画面精美，操作流畅。,益智类
http://www.4399.com/flash/146052.htm,麻将消除高手,5,游戏设计很精巧，细节处理得很好。,任务系统很完善，玩起来很有动力。,益智类
http://www.4399.com/flash/106933.htm,坏蛋冰淇淋2无敌版,5,非常好玩，推荐给大家！,游戏设计很精巧，细节处理得很好。,益智类
