游戏地址,游戏名字,评分,评论1,评论2,游戏类型
http://www.4399.com/flash/21223.htm,小球进洞,5,画质超高，玩起来很舒服。,操作手感非常好，值得推荐。,策略类
http://www.4399.com/flash/92108.htm,连连看原版,5,任务系统很完善，玩起来很有动力。,强烈推荐给朋友们一起玩！,策略类
http://www.4399.com/flash/237380.htm,做个拿手菜,5,画面细腻，色彩搭配很好。,游戏模式很多样化，令人上瘾。,策略类
http://www.4399.com/flash/66922.htm,亚当找夏娃中文版,5,操作手感很好，玩起来很顺畅。,画风很可爱，玩起来很放松。,策略类
http://www.4399.com/flash/92108.htm,连连看原版,5,各种任务和挑战，让人欲罢不能。,强烈推荐给朋友们一起玩！,策略类
http://www.4399.com/flash/1244.htm,红孩儿连连看,5,非常考验智力和反应速度。,游戏机制很独特，玩法很新颖。,策略类
http://www.4399.com/flash/143093.htm,果蔬连连看HD,5,操作简单，很容易上手。,每次玩都能发现新的惊喜。,策略类
http://www.4399.com/flash/237088.htm,老六别坑了,5,社交功能完善，可以和朋友一起玩。,界面设计很漂亮，游戏性很强。,策略类
http://www.4399.com/flash/16395.htm,小婴儿逃出系列2,5,游戏中的隐藏内容很多，探索很有趣。,非常考验智力和反应速度。,策略类
http://www.4399.com/flash/234964.htm,打开房间的门,5,剧情设计很精彩，玩起来像看电影。,关卡设计很巧妙，很有挑战性。,策略类
